<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251216,10:07:00,56.79,56.79,56.74,56.74,11940
20251216,10:08:00,56.75,56.78,56.75,56.78,6600
20251216,10:09:00,56.8,56.8,56.77,56.77,6180
20251216,10:10:00,56.79,56.83,56.79,56.82,2310
20251216,10:11:00,56.82,56.84,56.8,56.83,1170
20251216,10:12:00,56.83,56.83,56.83,56.83,20
20251216,10:13:00,56.81,56.82,56.79,56.82,560
20251216,10:14:00,56.83,56.83,56.81,56.83,1150
20251216,10:15:00,56.83,56.84,56.82,56.83,2240
20251216,10:16:00,56.83,56.83,56.8,56.8,1100
20251216,10:17:00,56.8,56.8,56.78,56.79,430
20251216,10:18:00,56.79,56.8,56.78,56.8,1600
20251216,10:19:00,56.8,56.82,56.8,56.8,1930
20251216,10:20:00,56.79,56.8,56.75,56.75,45180
20251216,10:21:00,56.77,56.81,56.77,56.81,7070
20251216,10:22:00,56.79,56.8,56.79,56.8,1170
20251216,10:23:00,56.81,56.83,56.8,56.83,2060
20251216,10:24:00,56.85,56.88,56.85,56.88,4870
20251216,10:25:00,56.88,56.94,56.88,56.94,3880
20251216,10:26:00,56.94,56.95,56.92,56.92,6820
20251216,10:27:00,56.89,56.95,56.89,56.95,4690
20251216,10:28:00,56.95,56.95,56.94,56.95,1010
20251216,10:29:00,56.94,56.98,56.94,56.97,47450
20251216,10:30:00,56.98,56.98,56.92,56.92,57770
20251216,10:31:00,56.94,56.95,56.86,56.94,88500
20251216,10:32:00,56.94,56.94,56.93,56.93,1830
20251216,10:33:00,56.93,56.94,56.92,56.93,43920
20251216,10:34:00,56.93,56.94,56.93,56.93,270
20251216,10:35:00,56.94,56.94,56.93,56.94,16670
20251216,10:36:00,56.94,56.95,56.94,56.94,2420
20251216,10:37:00,56.94,56.94,56.92,56.94,2440
20251216,10:38:00,56.94,57.01,56.91,57,204270
20251216,10:39:00,57.01,57.01,56.99,56.99,18430
20251216,10:40:00,57.01,57.02,56.99,57.01,19370
20251216,10:41:00,57.01,57.03,57.01,57.01,9970
20251216,10:42:00,57.02,57.04,57,57.02,22650
20251216,10:43:00,57.02,57.04,57.02,57.03,6390
20251216,10:44:00,57.02,57.09,57.02,57.07,105090
20251216,10:45:00,57.07,57.11,57.07,57.09,57920
20251216,10:46:00,57.09,57.11,57.09,57.1,5150
20251216,10:47:00,57.1,57.11,57.1,57.11,1720
20251216,10:48:00,57.11,57.11,57.06,57.07,16150
20251216,10:49:00,57.06,57.11,57.06,57.11,30250
20251216,10:50:00,57.1,57.2,57.1,57.19,117990
20251216,10:51:00,57.2,57.47,57.2,57.46,395560
20251216,10:52:00,57.47,57.47,57.32,57.38,252580
20251216,10:53:00,57.39,57.6,57.36,57.6,405410
20251216,10:54:00,57.6,57.69,57.52,57.54,241180
20251216,10:55:00,57.56,57.78,57.56,57.7,483630
20251216,10:56:00,57.7,57.76,57.66,57.68,221730
20251216,10:57:00,57.69,57.77,57.67,57.74,96850
20251216,10:58:00,57.74,57.78,57.67,57.76,124460
20251216,10:59:00,57.75,57.8,57.68,57.74,291220
20251216,11:00:00,57.74,57.8,57.63,57.64,206670
20251216,11:01:00,57.64,57.67,57.61,57.63,63190
20251216,11:02:00,57.63,57.65,57.54,57.57,125170
20251216,11:03:00,57.58,57.6,57.56,57.57,54250
20251216,11:04:00,57.55,57.57,57.51,57.51,61400
20251216,11:05:00,57.5,57.55,57.5,57.55,27600
20251216,11:06:00,57.54,57.62,57.54,57.61,56820
20251216,11:07:00,57.61,57.62,57.54,57.54,44510
20251216,11:08:00,57.54,57.77,57.54,57.76,375890
20251216,11:09:00,57.76,57.77,57.71,57.71,39360
20251216,11:10:00,57.7,57.75,57.68,57.68,33760
20251216,11:11:00,57.68,57.7,57.67,57.67,17340
20251216,11:12:00,57.69,57.69,57.65,57.65,20120
